Task_cnt	Time(us)		Latency(us)
846		1101255.64		69.97
847		1101324.76		69.10
848		1101394.08		69.31
849		1101462.95		68.86
850		1101532.31		69.35
851		1101601.16		68.83
852		1101670.06		68.89
853		1101739.88		69.80
854		1101809.65		69.75
855		1101878.69		69.03
856		1101947.11		68.40
857		1102016.43		69.30
858		1102085.31		68.87
859		1102154.75		69.42
860		1102223.32		68.56
861		1102292.45		69.11
862		1102361.80		69.34
863		1102430.72		68.90
864		1102497.56		66.84
865		1102567.10		69.52
866		1102637.09		69.98
867		1102706.26		69.16
868		1102776.09		69.82
869		1102845.45		69.35
870		1102914.88		69.41
871		1102984.85		69.96
872		1103052.19		67.33
873		1103121.27		69.07
874		1103191.22		69.94
875		1103260.43		69.19
876		1103329.78		69.34
877		1103399.18		69.39
878		1103468.06		68.87
879		1103537.64		69.57
880		1103606.83		69.18
881		1103678.71		71.86
882		1103747.57		68.85
883		1103819.60		72.01
884		1103889.81		70.20
885		1103959.24		69.42
886		1104028.02		68.76
887		1104097.51		69.48
888		1104167.44		69.92
889		1104237.38		69.92
890		1104307.59		70.20
891		1104376.39		68.78
892		1104445.82		69.42
893		1104515.70		69.87
894		1104585.00		69.29
895		1104654.38		69.36
896		1104724.83		70.43
897		1104794.70		69.86
898		1104863.52		68.80
899		1104932.88		69.35
900		1105002.24		69.35
901		1105072.09		69.84
902		1105139.03		66.92
903		1105208.42		69.38
904		1105277.22		68.79
905		1105346.13		68.90
906		1105412.54		66.40
907		1105481.54		68.99
908		1105551.53		69.97
909		1105621.27		69.72
910		1105689.09		67.81
911		1105757.93		68.83
912		1105827.32		69.38
913		1105896.74		69.41
914		1105965.52		68.77
915		1106034.40		68.86
916		1106103.78		69.37
917		1106172.95		69.16
918		1106242.79		69.83
919		1106312.67		69.87
920		1106381.71		69.02
921		1106451.11		69.39
922		1106519.96		68.83
923		1106589.47		69.50
924		1106658.66		69.17
925		1106728.00		69.32
926		1106797.37		69.36
927		1106866.74		69.36
928		1106936.12		69.37
929		1107004.04		67.90
930		1107073.61		69.55
931		1107142.90		69.28
932		1107211.74		68.83
933		1107280.84		69.09
934		1107349.98		69.12
935		1107419.43		69.44
936		1107488.85		69.41
937		1107557.31		68.45
938		1107626.12		68.79
939		1107695.47		69.33
940		1107773.95		78.47
941		1107843.82		69.85
942		1107913.53		69.70
943		1107983.70		70.15
944		1108052.27		68.56
945		1108121.89		69.60
946		1108192.01		70.11
947		1108261.63		69.61
948		1108328.86		67.22
949		1108398.99		70.12
950		1108468.08		69.07
951		1108537.78		69.69
952		1108608.05		70.25
953		1108677.88		69.82
954		1108747.11		69.21
955		1108816.30		69.18
956		1108886.47		70.16
957		1108957.61		71.13
958		1109027.30		69.67
959		1109096.89		69.58
960		1109166.45		69.54
961		1109235.75		69.29
962		1109304.89		69.13
963		1109374.57		69.67
964		1109444.19		69.61
965		1109513.74		69.53
966		1109583.65		69.90
967		1109653.91		70.25
968		1109723.29		69.36
969		1109792.75		69.45
970		1109862.41		69.64
971		1109929.86		67.44
972		1109998.78		68.91
973		1110068.38		69.58
974		1110137.39		69.00
975		1110205.73		68.33
976		1110275.40		69.66
977		1110344.51		69.09
978		1110413.80		69.28
979		1110482.80		68.99
980		1110552.41		69.59
981		1110622.13		69.71
982		1110691.93		69.78
983		1110762.21		70.27
984		1110831.58		69.36
985		1110901.04		69.45
986		1110970.75		69.70
987		1111040.00		69.24
988		1111109.60		69.58
989		1111179.25		69.64
990		1111249.03		69.76
991		1111318.60		69.55
992		1111387.74		69.13
993		1111456.89		69.14
994		1111527.06		70.16
995		1111597.27		70.19
996		1111667.54		70.26
997		1111737.36		69.80
998		1111802.23		64.86
999		1111871.59		69.35
1000		1111940.72		69.11
1001		1112010.65		69.92
1002		1112080.39		69.73
1003		1112149.68		69.28
1004		1112219.07		69.38
1005		1112288.56		69.47
1006		1112357.96		69.39
1007		1112427.44		69.47
1008		1112496.63		69.18
1009		1112565.54		68.89
1010		1112635.23		69.68
1011		1112705.62		70.37
1012		1112775.53		69.90
1013		1112845.21		69.67
1014		1112914.53		69.31
1015		1112983.90		69.36
1016		1113053.28		69.37
1017		1113121.14		67.84
1018		1113190.45		69.30
1019		1113259.81		69.35
1020		1113329.15		69.33
1021		1113397.55		68.39
1022		1113466.43		68.86
1023		1113536.31		69.87
1024		1113605.95		69.62
1025		1113674.59		68.63
1026		1113743.60		69.00
1027		1113813.75		70.13
1028		1113882.26		68.50
1029		1113951.68		69.41
1030		1114020.15		68.46
1031		1114088.99		68.82
1032		1114155.29		66.29
1033		1114224.68		69.37
1034		1114293.61		68.91
1035		1114363.43		69.81
1036		1114432.32		68.88
1037		1114501.76		69.42
1038		1114571.07		69.30
1039		1114641.17		70.09
1040		1114710.97		69.79
1041		1114780.13		69.15
1042		1114850.00		69.86
1043		1114919.43		69.42
1044		1114987.79		68.35
1045		1115057.05		69.25
1046		1115126.00		68.93
1047		1115195.31		69.29
1048		1115263.30		67.98
1049		1115331.20		67.89
1050		1115400.52		69.31
1051		1115469.98		69.45
1052		1115538.69		68.70
1053		1115608.95		70.24
1054		1115678.89		69.93
1055		1115759.04		80.14
1056		1115828.34		69.29
1057		1115897.82		69.47
1058		1115967.50		69.66
1059		1116035.95		68.43
1060		1116105.36		69.40
1061		1116174.27		68.89
1062		1116243.16		68.87
1063		1116311.60		68.43
1064		1116381.21		69.60
1065		1116451.05		69.82
1066		1116520.15		69.09
1067		1116588.05		67.89
1068		1116657.49		69.43
1069		1116726.78		69.28
1070		1116796.11		69.31
1071		1116865.25		69.13
1072		1116934.94		69.67
1073		1117004.33		69.38
1074		1117074.26		69.92
1075		1117143.68		69.40
1076		1117213.58		69.89
1077		1117282.88		69.28
1078		1117352.36		69.47
1079		1117421.65		69.27
1080		1117490.99		69.33
1081		1117560.14		69.13
1082		1117630.24		70.09
1083		1117699.79		69.54
1084		1117769.42		69.62
1085		1117839.34		69.90
1086		1117908.77		69.42
1087		1117978.14		69.36
1088		1118047.27		69.12
1089		1118117.16		69.87
1090		1118184.53		67.36
1091		1118254.49		69.95
1092		1118324.18		69.67
1093		1118393.37		69.18
1094		1118460.94		67.55
1095		1118530.81		69.85
1096		1118600.48		69.66
1097		1118669.90		69.41
1098		1118737.82		67.91
1099		1118807.62		69.78
1100		1118877.06		69.42
1101		1118946.38		69.31
1102		1119015.32		68.93
1103		1119084.22		68.89
1104		1119153.52		69.29
1105		1119222.57		69.03
1106		1119292.49		69.91
1107		1119362.58		70.08
1108		1119431.11		68.52
1109		1119500.41		69.28
1110		1119569.24		68.82
1111		1119638.10		68.85
1112		1119707.57		69.46
1113		1119789.64		82.05
1114		1119858.99		69.34
1115		1119928.45		69.44
1116		1119997.85		69.39
1117		1120067.66		69.79
1118		1120137.04		69.37
1119		1120205.97		68.92
1120		1120276.22		70.23
1121		1120346.06		69.83
1122		1120415.04		68.96
1123		1120484.94		69.89
1124		1120554.29		69.34
1125		1120623.19		68.89
1126		1120692.71		69.51
1127		1120762.48		69.75
1128		1120832.34		69.85
1129		1120901.60		69.25
1130		1120970.84		69.23
1131		1121040.81		69.96
1132		1121109.32		68.50
1133		1121179.14		69.80
1134		1121248.54		69.39
1135		1121317.49		68.93
1136		1121385.92		68.42
1137		1121455.19		69.25
1138		1121524.97		69.77
1139		1121594.84		69.86
1140		1121662.83		67.98
1141		1121732.25		69.41
1142		1121801.72		69.45
1143		1121871.25		69.52
1144		1121940.07		68.80
1145		1122009.43		69.35
1146		1122079.13		69.69
1147		1122148.98		69.83
